timestamp,face_count,fps
00:05:08,1,64.2
00:05:08,1,62.6
00:05:08,1,64.7
00:05:08,1,64.2
00:05:09,1,61.4
00:05:09,1,60.3
00:05:09,1,62.5
00:05:09,1,64.6
00:05:09,1,65.7
00:05:09,1,59.5
00:05:09,1,57.7
00:05:09,1,61.3
00:05:09,1,58.5
00:05:09,1,64.8
00:05:09,1,65.7
00:05:09,1,62.0
00:05:09,1,59.8
00:05:09,1,60.9
00:05:09,1,68.7
00:05:09,1,57.4
00:05:09,1,56.1
00:05:09,1,60.2
00:05:09,1,57.2
00:05:09,1,62.1
00:05:09,1,58.1
00:05:09,1,65.0
00:05:09,1,55.4
00:05:09,1,58.9
00:05:09,1,56.7
00:05:09,1,64.5
00:05:09,1,61.7
00:05:09,1,64.9
00:05:09,1,63.1
00:05:09,1,60.3
00:05:10,1,53.4
00:05:10,1,55.4
00:05:10,1,61.9
00:05:10,1,58.1
00:05:10,1,54.6
00:05:10,1,60.2
00:05:10,1,59.1
00:05:10,1,58.2
00:05:10,1,61.3
00:05:10,1,60.1
00:05:10,1,60.3
00:05:10,1,59.6
00:05:10,1,57.4
00:05:10,1,58.5
00:05:10,1,54.2
00:05:10,1,66.4
00:05:10,1,63.5
00:05:10,1,61.6
00:05:10,1,69.3
00:05:10,1,66.4
00:05:10,1,56.4
00:05:10,1,61.0
00:05:10,1,57.0
00:05:10,1,65.9
00:05:10,1,66.1
00:05:10,1,65.9
00:05:10,1,61.9
00:05:10,1,69.9
00:05:10,1,65.1
00:05:10,1,66.8
00:05:11,1,55.1
00:05:11,1,64.9
00:05:11,1,57.2
00:05:11,1,59.4
00:05:11,1,65.4
00:05:11,1,65.3
00:05:11,1,68.3
00:05:11,1,61.3
00:05:11,1,58.4
00:05:11,1,65.2
00:05:11,1,62.0
00:05:11,1,64.1
00:05:11,1,69.9
00:05:11,1,62.0
00:05:11,1,66.8
00:05:11,1,63.9
00:05:11,1,70.7
00:05:11,1,58.5
00:05:11,1,66.1
00:05:11,1,61.1
00:05:11,1,62.4
00:05:11,1,62.3
00:05:11,1,63.7
00:05:11,1,62.7
00:05:11,1,62.2
00:05:11,1,67.3
00:05:11,1,64.3
00:05:11,1,56.9
00:05:11,1,61.3
00:05:11,1,55.0
00:05:12,1,62.3
00:05:12,1,62.6
00:05:12,1,65.7
00:05:12,1,62.1
00:05:12,1,60.4
00:05:12,1,57.3
00:05:12,1,59.5
00:05:12,1,60.0
00:05:12,1,61.0
00:05:12,1,58.8
00:05:12,1,54.6
00:05:12,1,61.3
00:05:12,1,63.3
00:05:12,1,59.4
00:05:12,1,57.3
00:05:12,1,61.3
00:05:12,1,60.4
00:05:12,1,63.0
00:05:12,1,61.0
00:05:12,1,53.3
00:05:12,1,62.3
00:05:12,1,64.6
00:05:12,1,58.3
00:05:12,1,57.6
00:05:12,1,61.9
00:05:12,1,60.0
00:05:12,1,53.9
00:05:12,1,55.3
00:05:12,1,61.4
00:05:12,1,62.4
00:05:13,1,60.1
00:05:13,1,55.7
00:05:13,1,63.1
00:05:13,1,58.6
00:05:13,1,61.7
00:05:13,1,53.5
00:05:13,1,67.5
00:05:13,1,62.2
00:05:13,1,67.1
00:05:13,1,66.7
00:05:13,1,63.1
00:05:13,1,58.1
00:05:13,1,52.7
00:05:13,1,57.3
00:05:13,1,66.3
00:05:13,1,59.1
00:05:13,1,60.3
00:05:13,1,61.3
00:05:13,1,60.6
00:05:13,1,56.5
00:05:13,1,59.3
00:05:13,1,63.9
00:05:13,1,61.1
00:05:13,1,58.3
00:05:13,1,61.7
00:05:13,1,54.7
00:05:13,1,62.6
00:05:13,1,58.6
00:05:13,1,63.1
00:05:13,1,64.0
00:05:14,1,61.7
00:05:14,1,63.0
00:05:14,1,58.8
00:05:14,1,59.8
00:05:14,1,62.6
00:05:14,1,61.6
00:05:14,1,64.9
00:05:14,1,58.5
00:05:14,1,62.9
00:05:14,1,63.2
00:05:14,1,60.8
00:05:14,1,55.8
00:05:14,1,60.1
00:05:14,1,59.3
00:05:14,1,59.5
00:05:14,1,58.7
00:05:14,1,59.4
00:05:14,1,59.8
00:05:14,1,60.8
00:05:14,1,57.1
00:05:14,1,61.9
00:05:14,1,63.6
00:05:14,1,62.4
00:05:14,1,62.4
00:05:14,1,53.5
00:05:14,1,66.0
00:05:14,1,59.9
00:05:14,1,59.3
00:05:14,1,53.3
00:05:14,1,62.3
00:05:15,1,56.2
00:05:15,1,63.8
00:05:15,1,62.4
00:05:15,1,59.4
00:05:15,1,61.5
00:05:15,1,61.5
00:05:15,1,58.9
00:05:15,1,58.7
00:05:15,1,61.2
00:05:15,1,64.6
00:05:15,1,60.3
00:05:15,1,60.5
00:05:15,1,61.5
00:05:15,1,56.5
00:05:15,1,60.0
00:05:15,1,64.7
00:05:15,1,65.8
00:05:15,1,64.5
00:05:15,1,65.3
00:05:15,1,56.9
00:05:15,1,59.3
00:05:15,1,60.9
00:05:15,1,61.8
00:05:15,1,56.5
00:05:15,1,58.5
00:05:15,1,63.6
00:05:15,1,57.4
00:05:15,1,58.0
00:05:15,1,63.7
00:05:15,1,62.1
00:05:16,1,67.8
00:05:16,1,56.2
00:05:16,1,63.7
00:05:16,1,63.7
00:05:16,1,50.8
00:05:16,1,61.4
00:05:16,1,56.4
00:05:16,1,57.5
00:05:16,1,63.6
00:05:16,1,60.6
00:05:16,1,57.8
00:05:16,1,64.1
00:05:16,1,62.1
00:05:16,1,64.9
00:05:16,1,66.8
00:05:16,1,62.1
00:05:16,1,56.1
00:05:16,1,58.8
00:05:16,1,53.5
00:05:16,1,57.4
00:05:16,1,62.8
00:05:16,1,64.6
00:05:16,1,58.0
00:05:16,1,54.4
00:05:16,1,57.1
00:05:16,1,60.1
00:05:16,1,54.7
00:05:16,1,60.9
00:05:16,1,59.1
00:05:16,1,66.1
00:05:17,1,58.4
00:05:17,1,61.2
00:05:17,1,58.8
00:05:17,1,52.5
00:05:17,1,58.7
00:05:17,1,64.7
00:05:17,1,56.5
00:05:17,1,60.9
00:05:17,1,62.6
00:05:17,1,66.7
00:05:17,1,63.2
00:05:17,1,62.9
00:05:17,1,64.7
00:05:17,1,61.4
00:05:17,1,63.6
00:05:17,1,58.5
00:05:17,1,55.2
00:05:17,1,54.4
00:05:17,1,62.5
00:05:17,1,64.4
00:05:17,1,58.5
00:05:17,1,55.8
00:05:17,1,65.0
00:05:17,1,69.1
00:05:17,1,62.8
00:05:17,1,64.5
00:05:17,1,63.4
00:05:17,1,68.2
00:05:17,1,62.6
00:05:17,1,63.4
00:05:18,1,60.7
00:05:18,1,61.6
00:05:18,1,64.4
00:05:18,1,68.0
00:05:18,1,63.7
00:05:18,1,58.2
